year,name,driverRef,statusId,position,Did not finish,Podium,Pos 4 to 10,Accident / Collision,Finished,SC,Dry,Wet,pitStop timing prop(driver),pitStop timing prop(race),Medium,Soft,Super Soft,Ultra soft,Hard,clusters
2016,Singapore Grand Prix,rosberg,1.0,1.0,0.0,0.0,0.33,0.0,1.0,1.0,1.0,0.0,0.057475150227266666,0.01936050978082762,0.0,4.0,2.0,7.0,0.0,2.0
2016,Spanish Grand Prix,rosberg,0.0,2.0,0.0,0.0,0.33,0.0,1.0,0.0,1.0,0.0,0.057475150227266666,0.07485571015943807,5.0,7.0,0.0,0.0,1.0,3.0
2016,United States Grand Prix,rosberg,1.0,2.0,0.0,0.0,0.33,0.0,1.0,1.0,0.67,0.0,0.057475150227266666,0.0704381266537809,2.0,5.0,6.0,0.0,0.0,5.0
2015,Abu Dhabi Grand Prix,rosberg,1.0,1.0,0.0,0.0,0.33,0.0,1.0,0.33,1.0,0.0,0.057475150227266666,0.0679736641809073,1.0,4.0,5.0,0.0,0.0,7.0
2015,Australian Grand Prix,rosberg,1.0,2.0,0.0,0.0,0.33,0.0,1.0,0.67,1.0,0.0,0.057475150227266666,0.06951697336869304,1.0,4.0,5.0,0.0,0.0,5.0
2015,Austrian Grand Prix,rosberg,1.0,2.0,0.0,0.0,0.33,0.0,1.0,0.0,1.0,0.0,0.057475150227266666,0.07940014952966216,1.0,4.0,5.0,0.0,0.0,2.0
2015,Bahrain Grand Prix,rosberg,1.0,3.0,0.0,0.0,0.33,0.0,1.0,0.33,1.0,0.0,0.057475150227266666,0.08539986718208016,1.0,4.0,5.0,0.0,0.0,13.0
2015,Belgian Grand Prix,rosberg,1.0,2.0,0.0,0.0,0.33,0.0,1.0,0.33,1.0,0.0,0.057475150227266666,0.07915638046572526,1.0,4.0,5.0,0.0,0.0,4.0
2015,Brazilian Grand Prix,rosberg,1.0,1.0,0.0,0.0,0.33,0.0,1.0,0.33,0.67,0.0,0.057475150227266666,0.06912697655942288,1.0,4.0,5.0,0.0,0.0,2.0
2015,British Grand Prix,rosberg,1.0,2.0,0.0,0.0,0.33,0.0,1.0,0.67,1.0,0.0,0.057475150227266666,0.043597094717505856,1.0,4.0,5.0,0.0,0.0,6.0
2015,Canadian Grand Prix,rosberg,1.0,2.0,0.0,0.0,0.33,0.0,1.0,0.33,1.0,0.0,0.057475150227266666,0.0691633650306118,1.0,4.0,5.0,0.0,0.0,2.0
2015,Chinese Grand Prix,rosberg,1.0,2.0,0.0,0.0,0.33,0.0,1.0,0.0,1.0,0.0,0.057475150227266666,0.08271251119872047,1.0,4.0,5.0,0.0,0.0,13.0
2015,Hungarian Grand Prix,rosberg,1.0,2.0,0.0,0.0,0.33,0.0,1.0,0.33,0.67,0.0,0.057475150227266666,0.07692607041910422,1.0,4.0,5.0,0.0,0.0,3.0
2015,Italian Grand Prix,rosberg,1.0,4.0,0.0,0.0,0.33,0.0,1.0,0.0,1.0,0.0,0.057475150227266666,0.08929932987934863,1.0,4.0,5.0,0.0,0.0,6.0
2015,Japanese Grand Prix,rosberg,1.0,1.0,0.0,0.0,0.33,0.0,1.0,0.67,0.67,0.33,0.057475150227266666,0.08831650422695894,1.0,4.0,5.0,0.0,0.0,5.0
2015,Malaysian Grand Prix,rosberg,1.0,3.0,0.0,0.0,0.33,0.0,1.0,0.33,0.33,0.0,0.057475150227266666,0.0768821010164176,1.0,4.0,5.0,0.0,0.0,5.0
2015,Mexican Grand Prix,rosberg,1.0,1.0,0.0,0.0,0.33,0.0,1.0,0.33,1.0,0.0,0.057475150227266666,0.06912697655942288,1.0,4.0,5.0,0.0,0.0,3.0
2015,Monaco Grand Prix,rosberg,1.0,2.0,0.0,0.0,0.33,0.0,1.0,1.0,1.0,0.0,0.057475150227266666,0.06451035774247273,1.0,4.0,5.0,0.0,0.0,2.0
2015,Russian Grand Prix,rosberg,0.0,1.0,0.0,0.0,0.33,0.0,1.0,0.0,1.0,0.0,0.057475150227266666,0.0,1.0,4.0,5.0,0.0,0.0,11.0
2015,Singapore Grand Prix,rosberg,1.0,6.0,0.0,0.0,0.33,0.0,1.0,1.0,1.0,0.0,0.057475150227266666,0.04391532537526453,1.0,4.0,5.0,0.0,0.0,7.0
2015,Spanish Grand Prix,rosberg,1.0,1.0,0.0,0.0,0.33,0.0,1.0,0.0,1.0,0.0,0.057475150227266666,0.08456849169449991,1.0,4.0,5.0,0.0,0.0,1.0
2015,United States Grand Prix,rosberg,1.0,1.0,0.0,0.0,0.33,0.0,1.0,0.67,1.0,0.0,0.057475150227266666,0.06187589981445249,1.0,4.0,5.0,0.0,0.0,9.0
2016,Abu Dhabi Grand Prix,vettel,1.0,5.0,0.0,0.33,0.33,0.0,1.0,0.0,1.0,0.0,0.06553273945224042,0.06989164110803796,0.0,5.0,1.0,7.0,0.0,5.0
2016,Australian Grand Prix,vettel,1.0,3.0,0.33,0.67,0.0,0.0,0.67,0.67,1.0,0.0,0.06553273945224042,0.0474107802193351,2.0,5.0,6.0,0.0,0.0,15.0
2016,Austrian Grand Prix,vettel,0.0,4.0,0.5,0.0,0.0,0.0,0.5,0.5,1.0,0.0,0.06553273945224042,0.06551006298518551,0.0,1.0,3.0,9.0,0.0,17.0
2016,Azerbaijan Grand Prix,vettel,1.0,4.0,0.0,0.0,0.33,0.0,1.0,0.33,1.0,0.0,0.06553273945224042,0.06912697655942288,1.0,5.0,7.0,0.0,0.0,14.0
2016,Bahrain Grand Prix,vettel,0.0,3.0,0.0,0.33,0.67,0.0,1.0,0.33,1.0,0.0,0.06553273945224042,0.07517750826825534,3.0,4.0,6.0,0.0,0.0,20.0
2016,Belgian Grand Prix,vettel,1.0,4.0,0.0,0.33,0.33,0.0,0.67,0.33,1.0,0.0,0.06553273945224042,0.07239938139982696,1.0,5.0,7.0,0.0,0.0,9.0
